pdb,execution_time
pdb5bqx_A_hinge_2_sigma1.0.pdb,0.101472
pdb5bqx_A_hinge_4_sigma1.5.pdb,0.042454
pdb5bqx_A_hinge_4_sigma0.5.pdb,0.154078
pdb5bqx_A_hinge_0_sigma0.5.pdb,0.184722
pdb5bqx_A_hinge_5_sigma1.0.pdb,0.098181
pdb5bqx_A_hinge_5_sigma0.5.pdb,0.16593
pdb5bqx_A_hinge_0_sigma1.5.pdb,0.056052
pdb5bqx_A_hinge_7_sigma0.5.pdb,0.159945
pdb5bqx_A_hinge_6_sigma0.5.pdb,0.172743
pdb5bqx_A_hinge_0_sigma1.0.pdb,0.113861
pdb5bqx_A_hinge_3_sigma1.5.pdb,0.051961
pdb5bqx_A_hinge_1_sigma1.5.pdb,0.067289
pdb5bqx_A_hinge_4_sigma1.0.pdb,0.118062
pdb5bqx_A_hinge_6_sigma1.0.pdb,0.123638
pdb5bqx_A_hinge_3_sigma0.5.pdb,0.160548
pdb5bqx_A_hinge_1_sigma0.5.pdb,0.171648
pdb5bqx_A_hinge_7_sigma1.0.pdb,0.091255
pdb5bqx_A_hinge_2_sigma1.5.pdb,0.070933
pdb5bqx_A_hinge_5_sigma1.5.pdb,0.060389
pdb5bqx_A_hinge_3_sigma1.0.pdb,0.103397
pdb5bqx_A_hinge_2_sigma0.5.pdb,0.183727
pdb5bqx_A_hinge_7_sigma1.5.pdb,0.039215
pdb2w3t_A_hinge_6_sigma0.5.pdb,0.151595
pdb2w3t_A_hinge_0_sigma1.5.pdb,0.042729
pdb2w3t_A_hinge_0_sigma0.5.pdb,0.161949
pdb2w3t_A_hinge_1_sigma1.0.pdb,0.106503
pdb2w3t_A_hinge_5_sigma0.5.pdb,0.135945
pdb2w3t_A_hinge_6_sigma1.0.pdb,0.095955
pdb2w3t_A_hinge_3_sigma0.5.pdb,0.138592
pdb2w3t_A_hinge_1_sigma1.5.pdb,0.065677
pdb2w3t_A_hinge_2_sigma0.5.pdb,0.154467
pdb2w3t_A_hinge_6_sigma1.5.pdb,0.03973
pdb2w3t_A_hinge_4_sigma1.5.pdb,0.041189
pdb2w3t_A_hinge_2_sigma1.0.pdb,0.123263
pdb2w3t_A_hinge_2_sigma1.5.pdb,0.042642
pdb2w3t_A_hinge_1_sigma0.5.pdb,0.149621
pdb2w3t_A_hinge_3_sigma1.5.pdb,0.037312
pdb2w3t_A_hinge_0_sigma1.0.pdb,0.116234
pdb2w3t_A_hinge_3_sigma1.0.pdb,0.078906
