p_pdb,q_pdb,execution_time
3oo6_A,3oo7_A,0.27195239067077637
3ooa_A,3oo6_A,0.0496189967
4qfk_A,4qfl_A,0.2685425281524658
6jal_A,6j9w_A,0.2581477165222168
6jal_A,6jam_A,0.2920205593109131
4ra1_A,4ze8_A,0.2567260265350342
3ip5_A,3ip6_A,0.0380819961
3ip5_A,3ipc_A,0.0401309952
3ip5_A,3ipa_A,0.26148271560668945
3ip5_A,3ip9_A,0.0345849991
4eq7_A,4euo_A,0.19234347343444824
4r72_A,4r73_A,0.2434694766998291
6hhb_A,6fjl_A,0.20316767692565918
4prs_B,4psh_A,0.0203960016
4psh_A,4prs_A,0.020432001
3k01_A,3k00_A,0.0480000004
3k01_A,3jzj_A,0.0486699976
3k01_A,3k02_A,0.0471000038
1g99_A,1tuu_B,0.0221679993
1g99_A,1g99_B,0.0230139978
1ozh_A,1ozh_B,0.32128453254699707
1ozg_A,1ozg_B,0.2532947063446045
1ozf_A,1ozf_B,0.3213343620300293
1ozh_A,1ozf_A,0.26148009300231934
1i9b_A,1i9b_B,0.13801932334899902
1ry2_A,1pg4_A,0.28243136405944824
2wxb_A,2wxb_B,0.20921993255615234
2wxb_B,1gs5_A,0.0145720001
2wxb_A,1gs5_A,0.17064571380615234
1oha_A,1gs5_A,0.0210560001
1oha_A,2wxb_A,0.2639119625091553
1oha_A,2wxb_B,0.0142539982
2rd5_A,2rd5_B,0.20443248748779297
3app_,2web_A,0.14214038848876953
3app_,2wea_A,0.2990427017211914
3app_,4ape_,0.15072131156921387
2qts_A,4fz0_A,0.23084378242492676
2qts_A,4fz1_A,0.0668289959
2qts_B,4fz0_B,0.3180961608886719
4fz0_A,3hgc_A,0.0623639971
8acn_A,5acn_A,0.17612499
8acn_,5acn_,0.13562703132629395
2dhh_A,2dhh_B,0.332778007
2dhh_B,2dhh_C,0.7645988464355469
2dr6_A,2dr6_B,0.423435003
2gif_A,2gif_C,0.336699992
4dx7_A,4dx7_B,0.459459007
4dx5_A,4dx5_B,0.673247993
2zwh_A,1j6z_A,0.0541209988
1atn_A,2zwh_A,0.0437610038
2zwh_A,1esv_A,0.0417669974
3hbt_A,3lue_A,0.17729783058166504
3hbt_A,8a2t_A,0.0493370034
3hbt_A,2zwh_A,0.17572546005249023
2hf4_A,2q36_A,0.20629072189331055
2hf4_A,1nwk_A,0.2659285068511963
2hf3_A,3daw_A,0.2015211582183838
1t44_A,2ff3_B,0.0222160034
2hf3_A,1hlu_A,0.0442080013
2hf3_A,3ub5_A,0.18349218368530273
3b5u_I,3j0s_I,0.19123458862304688
2fxu_A,2hf4_A,0.1290431022644043
2pav_A,8a2r_C,0.18339896202087402
2fxu_A,1nwk_A,0.0436360016
2pav_A,1nwk_A,0.3016195297241211
2v52_B,8a2r_C,0.0467480011
1d4x_A,1j6z_A,0.17440080642700195
1ijj_A,2zwh_A,0.13418269157409668
1qz6_A,1nwk_A,0.1289517879486084
3ub5_A,3chw_A,0.0499549955
3ub5_A,2pav_A,0.0477470011
3ub5_A,3u4l_A,0.19642043113708496
3ub5_A,1j6z_A,0.24222016334533691
3u4l_A,3chw_A,0.0419510007
2p9l_A,2p9k_A,0.22811412811279297
2p9l_A,2p9s_A,0.31629133224487305
2p9n_A,2p9p_A,0.2160811424255371
1u2v_A,1tyq_A,0.21896672248840332
2p9l_A,2p9u_A,0.26580190658569336
2p9l_A,2p9p_A,0.0514849983
2p9l_A,2p9i_A,0.17763686180114746
1k8k_A,2p9u_A,0.18970322608947754
1k8k_A,1u2v_A,0.21673274040222168
1k8k_A,2p9p_A,0.0525170006
1k8k_A,1k8k_C,0.18732571601867676
1k8k_A,1tyq_A,0.14899992942810059
3o4j_A,3o4j_B,0.29064154624938965
3o4j_C,3o4j_D,0.3154871463775635
1rx0_A,1rx0_C,0.1965475082397461
3c5e_A,2wd9_A,0.24306464195251465
3b7w_A,3c5e_A,0.27310895919799805
1w1i_E,2ada_,0.14155817031860352
2ada_,1uw6_A,0.16470694541931152
2i6a_A,2i6b_A,0.20773673057556152
1lio_A,1lik_A,0.17009782791137695
1lij_A,1lio_A,0.11468005180358887
1lio_A,1lii_A,0.040798001
3x2e_B,3x2f_A,0.1998732089996338
5tow_A,3x2f_A,0.21083712577819824
5tow_A,3x2e_A,0.18207263946533203
3x2e_A,3x2f_B,0.033606004
3x2f_A,3x2e_D,0.17153453826904297
3x2e_A,3x2f_A,0.16624832153320312
3x2f_A,3x2e_C,0.2511715888977051
3gvp_B,1b3r_A,0.2556266784667969
1qiu_B,1qiu_E,0.0199790001
1cjk_A,2gvd_A,0.1413707733154297
4ake_A,1zin_,0.17240548133850098
4ake_A,1aky_,0.22152256965637207
2eck_B,4ake_A,0.0130400006
2eck_A,4ake_A,0.0131119993
1dvr_A,4ake_A,0.12429523468017578
4ake_A,3aky_,0.23803353309631348
1nks_A,1nks_C,0.0098730009
4ake_B,1dvr_B,0.0150350016
4ake_A,2aky_,0.12473320960998535
2eck_A,4ake_B,0.012157999
1ak2_,4ake_B,0.11677289009094238
4ake_A,1ake_A,0.0115239993
1dvr_B,1ak2_,0.13807368278503418
1nks_F,1nks_A,0.00958900154
1ak2_,1ank_A,0.13225817680358887
1ake_A,1ank_A,0.23023200035095215
2eck_A,1ak2_,0.16386175155639648
1zak_A,4ake_A,0.0215319991
1zak_A,1zin_,0.09276843070983887
1ak2_,4ake_A,0.13515567779541016
2rgx_A,2rh5_A,0.0110610016
2rh5_B,2rgx_A,0.0111160018
1kht_A,1kht_C,0.16633391380310059
1dvr_A,2rgx_A,0.0148380008
2eck_B,4ake_B,0.0125890002
2aky_,3aky_,0.1210336685180664
2rgx_A,2rh5_C,0.0115779974
2rgx_A,2rh5_C,0.0112719983
1p3j_A,4ake_A,0.16196918487548828
1zio_,4ake_A,0.1169886589050293
1ake_A,4ake_B,0.0111690015
1kht_A,1kht_B,0.18106579780578613
1zip_,1ake_A,0.1810600757598877
1zip_,4ake_A,0.09011650085449219
1s3g_A,4ake_A,0.14579463005065918
1zio_,1ake_A,0.09141683578491211
2eck_A,2ak3_A,0.16130352020263672
2bbw_A,2bbw_B,0.0100200009
1ank_B,4ake_A,0.0122710001
1ank_A,1zin_,0.10348129272460938
1ank_A,4ake_A,0.0126899984
1ake_B,4ake_A,0.0108420011
2ak2_,2rh5_A,0.14381909370422363
2ak2_,1ak2_,0.15134716033935547
2ak2_,2c9y_A,0.11920642852783203
2ak2_,4ake_A,0.12747550010681152
2ak3_A,1aky_,0.1280841827392578
2ak3_A,2eck_B,0.0199069995
2ak3_A,1ak2_,0.2191762924194336
1j4b_A,1iwe_A,0.20806288719177246
1hoo_B,1cg0_A,0.2912938594818115
1k04_A,1k05_A,0.00784800015
1k04_A,1ow6_B,0.00776500069
1gc5_A,1ua4_A,0.28980064392089844
4b8r_A,1gc5_A,0.0666619986
4b8s_A,1gc5_A,0.23260903358459473
4b8s_A,4b8r_A,0.26982545852661133
1r8s_A,1r8q_A,0.13074779510498047
1e0s_A,2j5x_A,0.05594277381896973
1r12_A,3i9j_A,0.17915916442871094
1u2x_A,3drw_A,0.1872718334197998
3c0m_A,3c0m_B,0.0804309994
3c0m_A,3c0n_A,0.21465587615966797
3c0n_A,3c0n_B,0.19673919677734375
3og7_A,3og7_B,0.17145800590515137
3og7_A,1uwh_A,0.21158838272094727
3og7_A,4rzv_A,0.17355704307556152
2vhx_A,2vhx_F,0.1338334083557129
2eez_A,2eez_C,0.0517509989
1ju9_B,1mg0_C,0.0190399997
1ju9_B,1ee2_B,0.1690835952758789
1adg_A,2ohx_B,0.0339059979
1ju9_B,1hld_B,0.022830002
1adg_A,1agn_A,0.1461625099182129
1ju9_B,2ohx_A,0.0201510005
1qlh_A,1axe_A,0.0225229971
1cdo_A,1cdo_B,0.0276950002
4w6z_A,4w6z_B,0.0327459984
4w6z_C,4w6z_D,0.0255519971
2hcy_A,2hcy_B,0.0286220014
1teh_A,1mc5_A,0.0454129986
1n8k_A,1ye3_A,0.0217780024
1ju9_A,1hld_A,0.0186620019
1n8k_A,1ju9_A,0.0226939954
4dxh_A,1ye3_A,0.0222489983
1het_A,7adh_,0.15835309028625488
7adh_,1axg_B,0.11241292953491211
1het_A,8adh_,0.09744954109191895
2ohx_A,1ju9_A,0.0181670003
2ohx_A,1adg_,0.12000751495361328
2ohx_A,1adg_A,0.0274779983
8adh_,1axe_A,0.1449730396270752
8adh_,1a71_A,0.1274571418762207
8adh_,1ee2_A,0.10392951965332031
2ohx_A,8adh_,0.17478489875793457
8adh_,1axg_B,0.11343002319335938
1xgd_A,1ef3_A,0.0238619968
1ef3_B,1xgd_A,0.0224949997
1y3n_A,1y3q_A,0.0377719961
1y3p_A,1y3q_A,0.0492070019
1hyu_A,4xvg_A,0.0313170031
3mml_F,3mml_H,0.0103319958
3mml_D,3mml_F,0.17092657089233398
3mml_D,3mml_H,0.00885300338
3mml_B,3mml_D,0.00969199836
2nzw_A,2nzy_A,0.0415300019
2nzw_A,2nzy_B,0.0420040004
2nzx_A,2nzy_B,0.17087149620056152
2nzw_A,2nzx_B,0.0425829999
2nzw_A,2nzx_A,0.0410189964
5io1_A,3t1p_A,0.15995287895202637
2ii6_A,2ilv_A,0.12656402587890625
3b97_A,2xsx_A,0.0778520033
2ffa_A,2fgj_A,0.11959338188171387
1otj_D,1gy9_A,0.12802410125732422
2vrq_A,2vrq_B,0.143408999
4xsr_A,4xso_A,0.2302238941192627
1pea_,1qo0_A,0.08457112312316895
1pea_A,1qo0_A,0.13942837715148926
7zbo_A,7zbo_D,0.0361699983
7zbo_C,7zbo_D,0.023202002
3vv5_A,3vve_A,0.12334942817687988
4nqr_A,4rdc_A,0.1541457176208496
3e4f_A,3ijw_A,0.1563587188720703
1qo0_E,1qo0_D,0.00816700049
1jlu_E,1cmk_E,0.0403130017
1cmk_E,1cdk_A,0.21024775505065918
1cwy_A,2owx_A,0.1857471466064453
1esw_A,2owx_A,0.24599480628967285
5tuj_C,5t0w_A,0.00980300084
1ki0_A,2doi_X,0.00817400031
1ki0_A,2doh_X,0.00857000053
3nxq_A,3nxq_B,0.30028200149536133
6m17_B,6m1d_B,0.207391009
6m17_D,6m1d_D,0.198430017
1r4l_A,1r42_A,0.0864259973
3qbw_A,3qbx_A,0.15117740631103516
1axn_,1aii_,0.2852201461791992
1axn_,2ran_,0.13041925430297852
1khd_B,1khd_D,0.19372010231018066
