p_pdb,q_pdb,execution_time
2wxb_A,2wxb_B,0.452232
2wxb_B,1gs5_A,0.459462
2wxb_A,1gs5_A,0.46001
1oha_A,1gs5_A,0.43426
1oha_A,2wxb_A,0.450576
1oha_A,2wxb_B,0.699707
2rd5_A,2rd5_B,0.558685
3app_,2web_A,
3app_,2wea_A,
3app_,4ape_,
2qts_A,4fz0_A,1.054355
2qts_A,4fz1_A,1.015873
2qts_B,4fz0_B,1.028344
4fz0_A,3hgc_A,
8acn_A,5acn_A,4.643583
8acn_,5acn_,
2dhh_A,2dhh_B,12.526955
2dhh_B,2dhh_C,12.723004
2dr6_A,2dr6_B,12.402301
2gif_A,2gif_C,11.791448
4dx7_A,4dx7_B,12.265662
4dx5_A,4dx5_B,12.236397
2zwh_A,1j6z_A,1.267816
1atn_A,2zwh_A,1.249727
2zwh_A,1esv_A,1.217371
3hbt_A,3lue_A,1.154456
3hbt_A,8a2t_A,1.196987
3hbt_A,2zwh_A,1.220421
2hf4_A,2q36_A,1.077697
2hf4_A,1nwk_A,1.079288
2hf3_A,3daw_A,1.144532
1t44_A,2ff3_B,1.07735
2hf3_A,1hlu_A,1.217147
2hf3_A,3ub5_A,1.124331
3b5u_I,3j0s_I,1.266407
2fxu_A,2hf4_A,1.09571
2pav_A,8a2r_C,1.153688
2fxu_A,1nwk_A,1.112393
2pav_A,1nwk_A,1.106282
2v52_B,8a2r_C,1.168882
1d4x_A,1j6z_A,1.19515
1ijj_A,2zwh_A,1.319196
1qz6_A,1nwk_A,1.076727
3ub5_A,3chw_A,1.252679
3ub5_A,2pav_A,1.121012
3ub5_A,3u4l_A,1.131692
3ub5_A,1j6z_A,1.335796
3u4l_A,3chw_A,1.065019
2p9l_A,2p9k_A,1.615739
2p9l_A,2p9s_A,1.484385
2p9n_A,2p9p_A,1.437098
1u2v_A,1tyq_A,1.5903
2p9l_A,2p9u_A,1.490961
2p9l_A,2p9p_A,1.46696
2p9l_A,2p9i_A,1.586904
1k8k_A,2p9u_A,1.528181
1k8k_A,1u2v_A,1.536783
1k8k_A,2p9p_A,1.551543
1k8k_A,1k8k_C,0.511988
1k8k_A,1tyq_A,1.536881
3o4j_A,3o4j_B,2.994301
3o4j_C,3o4j_D,3.076444
1rx0_A,1rx0_C,1.988361
3c5e_A,2wd9_A,2.433022
3b7w_A,3c5e_A,2.397729
1w1i_E,2ada_,
2ada_,1uw6_A,
2i6a_A,2i6b_A,1.085827
1lio_A,1lik_A,0.865509
1lij_A,1lio_A,0.857365
1lio_A,1lii_A,0.837757
3x2e_B,3x2f_A,1.581501
5tow_A,3x2f_A,1.425507
5tow_A,3x2e_A,1.503703
3x2e_A,3x2f_B,1.671049
3x2f_A,3x2e_D,1.74579
3x2e_A,3x2f_A,1.603527
3x2f_A,3x2e_C,1.655487
3gvp_B,1b3r_A,1.819118
1qiu_B,1qiu_E,0.618504
1cjk_A,2gvd_A,0.270986
4ake_A,1zin_,
4ake_A,1aky_,
2eck_B,4ake_A,0.344744
2eck_A,4ake_A,0.373146
1dvr_A,4ake_A,0.335468
4ake_A,3aky_,
1nks_A,1nks_C,0.365605
4ake_B,1dvr_B,0.390022
4ake_A,2aky_,
2eck_A,4ake_B,0.328663
1ak2_,4ake_B,
4ake_A,1ake_A,0.336472
1dvr_B,1ak2_,
1nks_F,1nks_A,0.362305
1ak2_,1ank_A,
1ake_A,1ank_A,0.381188
2eck_A,1ak2_,
1zak_A,4ake_A,0.583084
1zak_A,1zin_,
1ak2_,4ake_A,
2rgx_A,2rh5_A,0.312953
2rh5_B,2rgx_A,0.326609
1kht_A,1kht_C,0.379721
1dvr_A,2rgx_A,0.399053
2eck_B,4ake_B,0.343805
2aky_,3aky_,
2rgx_A,2rh5_C,0.317586
2rgx_A,2rh5_C,0.320772
1p3j_A,4ake_A,0.325815
1zio_,4ake_A,
1ake_A,4ake_B,0.347239
1kht_A,1kht_B,0.413033
1zip_,1ake_A,
1zip_,4ake_A,
1s3g_A,4ake_A,0.348042
1zio_,1ake_A,
2eck_A,2ak3_A,0.34869
2bbw_A,2bbw_B,0.413736
1ank_B,4ake_A,0.361093
1ank_A,1zin_,
1ank_A,4ake_A,0.349921
1ake_B,4ake_A,0.358719
2ak2_,2rh5_A,
2ak2_,1ak2_,
2ak2_,2c9y_A,
2ak2_,4ake_A,
2ak3_A,1aky_,
2ak3_A,2eck_B,0.375605
2ak3_A,1ak2_,
1j4b_A,1iwe_A,1.708479
1hoo_B,1cg0_A,1.822723
1k04_A,1k05_A,0.554424
1k04_A,1ow6_B,0.579884
1gc5_A,1ua4_A,1.751563
4b8r_A,1gc5_A,1.737613
4b8s_A,1gc5_A,1.765837
4b8s_A,4b8r_A,1.783555
1r8s_A,1r8q_A,0.252232
1e0s_A,2j5x_A,0.274649
1r12_A,3i9j_A,0.543031
1u2x_A,3drw_A,1.787016
3c0m_A,3c0m_B,1.439476
3c0m_A,3c0n_A,1.448117
3c0n_A,3c0n_B,1.42095
3og7_A,3og7_B,0.439055
3og7_A,1uwh_A,0.472546
3og7_A,4rzv_A,0.549612
2vhx_A,2vhx_F,1.10557
2eez_A,2eez_C,0.957634
1ju9_B,1mg0_C,1.118375
1ju9_B,1ee2_B,1.141817
1adg_A,2ohx_B,1.081925
1ju9_B,1hld_B,1.209714
1adg_A,1agn_A,1.131328
1ju9_B,2ohx_A,1.143058
1qlh_A,1axe_A,1.069712
1cdo_A,1cdo_B,1.080635
4w6z_A,4w6z_B,0.991507
4w6z_C,4w6z_D,1.048262
2hcy_A,2hcy_B,
1teh_A,1mc5_A,1.048309
1n8k_A,1ye3_A,1.063787
1ju9_A,1hld_A,1.128226
1n8k_A,1ju9_A,1.083107
4dxh_A,1ye3_A,1.052936
1het_A,7adh_,
7adh_,1axg_B,
1het_A,8adh_,
2ohx_A,1ju9_A,1.058791
2ohx_A,1adg_,
2ohx_A,1adg_A,1.055882
8adh_,1axe_A,
8adh_,1a71_A,
8adh_,1ee2_A,
2ohx_A,8adh_,
8adh_,1axg_B,
1xgd_A,1ef3_A,0.904528
1ef3_B,1xgd_A,0.892145
1y3n_A,1y3q_A,1.983149
1y3p_A,1y3q_A,1.985919
1hyu_A,4xvg_A,2.090199
3mml_F,3mml_H,0.326538
3mml_D,3mml_F,0.41697
3mml_D,3mml_H,0.305076
3mml_B,3mml_D,0.329509
2nzw_A,2nzy_A,1.029558
2nzw_A,2nzy_B,1.012251
2nzx_A,2nzy_B,0.971058
2nzw_A,2nzx_B,1.027681
2nzw_A,2nzx_A,1.008415
5io1_A,3t1p_A,1.092522
2ii6_A,2ilv_A,1.705606
3b97_A,2xsx_A,1.666573
2ffa_A,2fgj_A,0.538574
1otj_D,1gy9_A,0.636047
2vrq_A,2vrq_B,1.810199
4xsr_A,4xso_A,1.191974
1pea_,1qo0_A,
1pea_A,1qo0_A,1.188621
7zbo_A,7zbo_D,0.784244
7zbo_C,7zbo_D,0.767539
3vv5_A,3vve_A,0.362528
4nqr_A,4rdc_A,1.19931
3e4f_A,3ijw_A,0.377273
1qo0_E,1qo0_D,0.357871
1jlu_E,1cmk_E,0.835988
1cmk_E,1cdk_A,0.830835
1cwy_A,2owx_A,2.454303
